NumIters,Seconds,LearningRate,loss
0.0,21.275707,0.001,4.2643
20.0,24.603398,0.001,3.79141
40.0,27.965425,0.001,3.87267
60.0,31.26508,0.001,3.70418
80.0,34.791848,0.001,3.69979
100.0,38.116563,0.001,3.6356
120.0,41.461451,0.001,3.62539
140.0,44.772572,0.001,3.49314
160.0,48.161541,0.001,3.59291
180.0,51.504772,0.001,3.51404
200.0,54.874394,0.001,3.63255
220.0,58.249319,0.001,3.4787
240.0,61.609085,0.001,3.42483
260.0,64.974694,0.001,3.46611
280.0,68.318578,0.001,3.36428
300.0,71.650479,0.001,3.38124
320.0,75.016567,0.001,3.40048
340.0,78.424436,0.001,3.3718
360.0,81.812544,0.001,3.30542
380.0,85.182269,0.001,3.33316
400.0,88.565982,0.001,3.35342
420.0,91.966134,0.001,3.21071
440.0,95.335551,0.001,3.11264
460.0,98.732963,0.001,3.1301
480.0,102.098375,0.001,3.12463
500.0,105.470827,0.001,3.09798
520.0,108.880853,0.001,3.00468
540.0,112.26496,0.001,3.00515
560.0,115.645711,0.001,2.78179
580.0,119.051217,0.001,2.6117
600.0,122.418312,0.001,2.58131
620.0,125.775921,0.001,2.49865
640.0,129.124066,0.001,2.3585
660.0,132.527378,0.001,2.39682
680.0,135.864978,0.001,2.35374
700.0,139.255633,0.001,2.08912
720.0,142.642596,0.001,2.18028
740.0,146.0494,0.001,2.0959
760.0,149.4265,0.001,2.05541
780.0,152.83379,0.001,2.05197
800.0,156.219111,0.001,1.87143
820.0,159.59504,0.001,1.84073
840.0,162.930178,0.001,1.80309
860.0,166.350102,0.001,1.90568
880.0,169.760919,0.001,1.78473
900.0,173.124422,0.001,1.74719
920.0,176.485778,0.001,1.70393
940.0,179.865763,0.001,1.71061
960.0,183.278165,0.001,1.53991
980.0,186.631853,0.001,1.53868
1000.0,209.226165,0.001,1.67583
1020.0,212.558782,0.001,1.30975
1040.0,215.891872,0.001,1.54526
1060.0,219.241367,0.001,1.51595
1080.0,222.636089,0.001,1.3504
